name,branch,region,district,phone,email
ALBEHIJE PRIMARY SCHOOL,,Arusha,Arusha,,
BANGATA PRIMARY SCHOOL,,Arusha,Arusha,,
BWAWANI PRIMARY SCHOOL,,Arusha,Arusha,,
DINKA PRIMARY SCHOOL,,Arusha,Arusha,,
EKICA PRIMARY SCHOOL,,Arusha,Arusha,,
ENABOISHU PRIMARY SCHOOL,,Arusha,Arusha,,
ENGEDEKO PRIMARY SCHOOL,,Arusha,Arusha,,
ENGORIKA PRIMARY SCHOOL,,Arusha,Arusha,,
ENJORO PRIMARY SCHOOL,,Arusha,Arusha,,
EUNOTO PRIMARY SCHOOL,,Arusha,Arusha,,
GREEN ACRES PRIMARY SCHOOL,,Arusha,Arusha,,
IKIRWA PRIMARY SCHOOL,,Arusha,Arusha,,
ILKERINI PRIMARY SCHOOL,,Arusha,Arusha,,
ILKIUREI PRIMARY SCHOOL,,Arusha,Arusha,,
IMBIBIA PRIMARY SCHOOL,,Arusha,Arusha,,
JOBREAS PRIMARY SCHOOL,,Arusha,Arusha,,
KIMNYAKI PRIMARY SCHOOL,,Arusha,Arusha,,
KIRANYI PRIMARY SCHOOL,,Arusha,Arusha,,
LAMOLOKI PRIMARY SCHOOL,,Arusha,Arusha,,
LEMAADILI PRIMARY SCHOOL,,Arusha,Arusha,,
LEMUGUR PRIMARY SCHOOL,,Arusha,Arusha,,
LIKAMBA INTEGRITY PRIMARY SCHOOL,,Arusha,Arusha,,
LORUVANI PRIMARY SCHOOL,,Arusha,Arusha,,
MAASAI JOY PRIMARY SCHOOL,,Arusha,Arusha,,
MARGRETH ENGLANDS BURKS PRIMARY SCHOOL,,Arusha,Arusha,,
MBUYUNI PRIMARY SCHOOL,,Arusha,Arusha,,
MIRONGOINE PRIMARY SCHOOL,,Arusha,Arusha,,
MOKOLOI PRIMARY SCHOOL,,Arusha,Arusha,,
MSHIKAMANO PRIMARY SCHOOL,,Arusha,Arusha,,
MUUNGANO PRIMARY SCHOOL,,Arusha,Arusha,,
NAMBERE PRIMARY SCHOOL,,Arusha,Arusha,,
NAUREI PRIMARY SCHOOL,,Arusha,Arusha,,
NEW LIFE PRIMARY SCHOOL,,Arusha,Arusha,,
NG'IRESI PRIMARY SCHOOL,,Arusha,Arusha,,
OLBAK PRIMARY SCHOOL,,Arusha,Arusha,,
OLDADAI PRIMARY SCHOOL,,Arusha,Arusha,,
OLDONYOSAPUK PRIMARY SCHOOL,,Arusha,Arusha,,
OLGILAI PRIMARY SCHOOL,,Arusha,Arusha,,
OLMOTONYI PRIMARY SCHOOL,,Arusha,Arusha,,
OLOMITU PRIMARY SCHOOL,,Arusha,Arusha,,
OLTUROTO PRIMARY SCHOOL,,Arusha,Arusha,,
ROCKLAND PRIMARY SCHOOL,,Arusha,Arusha,,
SAMMENA PRIMARY SCHOOL,,Arusha,Arusha,,
SEIA EBENEZER PRIMARY SCHOOL,,Arusha,Arusha,,
SHINING STAR PRIMARY SCHOOL,,Arusha,Arusha,,
SOTWA WILSON PRIMARY SCHOOL,,Arusha,Arusha,,
ST PAULO PRIMARY SCHOOL,,Arusha,Arusha,,
TIMBOLO PRIMARY SCHOOL,,Arusha,Arusha,,
UMOJA PRIMARY SCHOOL,,Arusha,Arusha,,
WINNERS PRIMARY SCHOOL,,Arusha,Arusha,,
ASSALAF ISLAMIC PRIMARY SCHOOL,,Arusha,Arusha,,
BLUE BELL PRIMARY SCHOOL,,Arusha,Arusha,,
DEANERY PRIMARY SCHOOL,,Arusha,Arusha,,
EKENYWA PRIMARY SCHOOL,,Arusha,Arusha,,
EMAYAN PRIMARY SCHOOL,,Arusha,Arusha,,
ENGALAONI PRIMARY SCHOOL,,Arusha,Arusha,,
ENGILANG'ET PRIMARY SCHOOL,,Arusha,Arusha,,
ENGUTUKOITI PRIMARY SCHOOL,,Arusha,Arusha,,
ERETO PRIMARY SCHOOL,,Arusha,Arusha,,
GRACIOUS PRIMARY SCHOOL,,Arusha,Arusha,,
HEDA PRIMARY SCHOOL,,Arusha,Arusha,,
ILBORU PRIMARY SCHOOL,,Arusha,Arusha,,
ILKISONGO PRIMARY SCHOOL,,Arusha,Arusha,,
ILKUROTI PRIMARY SCHOOL,,Arusha,Arusha,,
JK NYERERE PRIMARY SCHOOL,,Arusha,Arusha,,
KIGONGONI PRIMARY SCHOOL,,Arusha,Arusha,,
KIOGA PRIMARY SCHOOL,,Arusha,Arusha,,
KISONGO PRIMARY SCHOOL,,Arusha,Arusha,,
LASTING BLESS PRIMARY SCHOOL,,Arusha,Arusha,,
LEMINYOR PRIMARY SCHOOL,,Arusha,Arusha,,
LESIRAA PRIMARY SCHOOL,,Arusha,Arusha,,
LOOVILUKUNY PRIMARY SCHOOL,,Arusha,Arusha,,
LOSINONI PRIMARY SCHOOL,,Arusha,Arusha,,
MANYIRE PRIMARY SCHOOL,,Arusha,Arusha,,
MATIM PRIMARY SCHOOL,,Arusha,Arusha,,
MIDAWE PRIMARY SCHOOL,,Arusha,Arusha,,
MOIVO PRIMARY SCHOOL,,Arusha,Arusha,,
MRINGA PRIMARY SCHOOL,,Arusha,Arusha,,
MUSA PRIMARY SCHOOL,,Arusha,Arusha,,
MZIMUNI PRIMARY SCHOOL,,Arusha,Arusha,,
NATEMA PRIMARY SCHOOL,,Arusha,Arusha,,
NENGUNGU PRIMARY SCHOOL,,Arusha,Arusha,,
NGARAMTONI PRIMARY SCHOOL,,Arusha,Arusha,,
NURU PRIMARY SCHOOL,,Arusha,Arusha,,
OLCHOROVUS PRIMARY SCHOOL,,Arusha,Arusha,,
OLDONYOSAMBU PRIMARY SCHOOL,,Arusha,Arusha,,
OLEMEDEYE PRIMARY SCHOOL,,Arusha,Arusha,,
OLKOKOLA PRIMARY SCHOOL,,Arusha,Arusha,,
OLOKII PRIMARY SCHOOL,,Arusha,Arusha,,
OLOSIVA PRIMARY SCHOOL,,Arusha,Arusha,,
PELICAN PRIMARY SCHOOL,,Arusha,Arusha,,
SAMBASHA PRIMARY SCHOOL,,Arusha,Arusha,,
SASI PRIMARY SCHOOL,,Arusha,Arusha,,
SELIANI PRIMARY SCHOOL,,Arusha,Arusha,,
SONGAMBELE PRIMARY SCHOOL,,Arusha,Arusha,,
ST MAGRET PRIMARY SCHOOL,,Arusha,Arusha,,
THEMI YA SIMBA PRIMARY SCHOOL,,Arusha,Arusha,,
TURKISH MAARIF PRIMARY SCHOOL,,Arusha,Arusha,,
WILMARK PRIMARY SCHOOL,,Arusha,Arusha,,
ARUSHA VICTORY PRIMARY SCHOOL,,Arusha,Arusha,,
BETHANY PRIMARY SCHOOL,,Arusha,Arusha,,
CLEVER KIDS PRIMARY SCHOOL,,Arusha,Arusha,,
EBENEZER PRIMARY SCHOOL,,Arusha,Arusha,,
EMAOI PRIMARY SCHOOL,,Arusha,Arusha,,
ENDONYOESOIYE PRIMARY SCHOOL,,Arusha,Arusha,,
ENGIKARET PRIMARY SCHOOL,,Arusha,Arusha,,
ENGORORA BAY PRIMARY SCHOOL,,Arusha,Arusha,,
ENYUATA PRIMARY SCHOOL,,Arusha,Arusha,,
GOODWILL PRIMARY SCHOOL,,Arusha,Arusha,,
GREEN PASTURES PRIMARY SCHOOL,,Arusha,Arusha,,
ILBORU LUTHERAN PRIMARY SCHOOL,,Arusha,Arusha,,
ILKIDING'A PRIMARY SCHOOL,,Arusha,Arusha,,
ILKONERE PRIMARY SCHOOL,,Arusha,Arusha,,
ISLONG PRIMARY SCHOOL,,Arusha,Arusha,,
KAMBI YA MAZIWA PRIMARY SCHOOL,,Arusha,Arusha,,
KINGDOM PRIMARY SCHOOL,,Arusha,Arusha,,
KISERIAN PRIMARY SCHOOL,,Arusha,Arusha,,
LAROI PRIMARY SCHOOL,,Arusha,Arusha,,
LEMANYATA PRIMARY SCHOOL,,Arusha,Arusha,,
LENGIJAVE PRIMARY SCHOOL,,Arusha,Arusha,,
LIKAMBA PRIMARY SCHOOL,,Arusha,Arusha,,
LOSIKITO PRIMARY SCHOOL,,Arusha,Arusha,,
MAJIMOTO PRIMARY SCHOOL,,Arusha,Arusha,,
MARURANI PRIMARY SCHOOL,,Arusha,Arusha,,
MIALE PRIMARY SCHOOL,,Arusha,Arusha,,
MLANGARINI PRIMARY SCHOOL,,Arusha,Arusha,,
MOSESEM PRIMARY SCHOOL,,Arusha,Arusha,,
MUNGUSHI PRIMARY SCHOOL,,Arusha,Arusha,,
MWANDETI PRIMARY SCHOOL,,Arusha,Arusha,,
NAMELOK PRIMARY SCHOOL,,Arusha,Arusha,,
NDURUMA PRIMARY SCHOOL,,Arusha,Arusha,,
NEW VISION PRIMARY SCHOOL,,Arusha,Arusha,,
NGORBOB PRIMARY SCHOOL,,Arusha,Arusha,,
OLCHOKI PRIMARY SCHOOL,,Arusha,Arusha,,
OLDENDERETI PRIMARY SCHOOL,,Arusha,Arusha,,
OLDONYOWAS PRIMARY SCHOOL,,Arusha,Arusha,,
OLJORO PRIMARY SCHOOL,,Arusha,Arusha,,
OLMRINGIRINGA PRIMARY SCHOOL,,Arusha,Arusha,,
OLORIEN VALLEY PRIMARY SCHOOL,,Arusha,Arusha,,
OLTURUMET PRIMARY SCHOOL,,Arusha,Arusha,,
SAIDE PRIMARY SCHOOL,,Arusha,Arusha,,
SAMWA PRIMARY SCHOOL,,Arusha,Arusha,,
SEKEI PRIMARY SCHOOL,,Arusha,Arusha,,
SITI MWINYI PRIMARY SCHOOL,,Arusha,Arusha,,
ST AUGUSTINE PRIMARY SCHOOL,,Arusha,Arusha,,
ST. PIUS PRIMARY SCHOOL,,Arusha,Arusha,,
TRUST ST PATRICK PRIMARY SCHOOL,,Arusha,Arusha,,
USHINDI PRIMARY SCHOOL,,Arusha,Arusha,,
YAKINI PRIMARY SCHOOL,,Arusha,Arusha,,
ANGELICO PRIMARY SCHOOL,,Arusha,Arusha Cc,,
ARUSHA MODERN PRIMARY SCHOOL,,Arusha,Arusha Cc,,
ASSUMPTION PRIMARY SCHOOL,,Arusha,Arusha Cc,,
BARBRA PRIMARY SCHOOL,,Arusha,Arusha Cc,,
BRIGHT SOULS PRIMARY SCHOOL,,Arusha,Arusha Cc,,
CAMP JOSHUA PRIMARY SCHOOL,,Arusha,Arusha Cc,,
CHETI PRIMARY SCHOOL,,Arusha,Arusha Cc,,
DOMINION PRIMARY SCHOOL,,Arusha,Arusha Cc,,
ENALEPO PRIMARY SCHOOL,,Arusha,Arusha Cc,,
ENGOSENGIU PRIMARY SCHOOL,,Arusha,Arusha Cc,,
ERNEST MEYNER PRIMARY SCHOOL,,Arusha,Arusha Cc,,
GLORIOUS PRIMARY SCHOOL,,Arusha,Arusha Cc,,
GOOD HOPE PRIMARY SCHOOL,,Arusha,Arusha Cc,,
GREENWHICH PRIMARY SCHOOL,,Arusha,Arusha Cc,,
HEAVEN PRIMARY SCHOOL,,Arusha,Arusha Cc,,
HIGHRIDGE PRIMARY SCHOOL,,Arusha,Arusha Cc,,
IMANI PRIMARY SCHOOL,,Arusha,Arusha Cc,,
JITIHADA PRIMARY SCHOOL,,Arusha,Arusha Cc,,
KIJENGE PRIMARY SCHOOL,,Arusha,Arusha Cc,,
KIMANDOLU PRIMARY SCHOOL,,Arusha,Arusha Cc,,
LADY OF MERCY PRIMARY SCHOOL,,Arusha,Arusha Cc,,
LISE PRIMARY SCHOOL,,Arusha,Arusha Cc,,
LUCKY VINCENT PRIMARY SCHOOL,,Arusha,Arusha Cc,,
MAJENGO PRIMARY SCHOOL,,Arusha,Arusha Cc,,
MAROMBOSO-BAPTIST PRIMARY SCHOOL,,Arusha,Arusha Cc,,
MATONYOK PRIMARY SCHOOL,,Arusha,Arusha Cc,,
MERU PRIMARY SCHOOL,,Arusha,Arusha Cc,,
MOIVOI PRIMARY SCHOOL,,Arusha,Arusha Cc,,
MOUNT SINAI PRIMARY SCHOOL,,Arusha,Arusha Cc,,
MURIET DARAJANI PRIMARY SCHOOL,,Arusha,Arusha Cc,,
MWANGAZA PRIMARY SCHOOL,,Arusha,Arusha Cc,,
NALOPA PRIMARY SCHOOL,,Arusha,Arusha Cc,,
NEW LIFE SOKON I PRIMARY SCHOOL,,Arusha,Arusha Cc,,
NGARENARO PRIMARY SCHOOL,,Arusha,Arusha Cc,,
NYAHIRI PRIMARY SCHOOL,,Arusha,Arusha Cc,,
OLOIRIEN PRIMARY SCHOOL,,Arusha,Arusha Cc,,
PATMOS ISLANDS PRIMARY SCHOOL,,Arusha,Arusha Cc,,
PRIME PRIMARY SCHOOL,,Arusha,Arusha Cc,,
SALEI PRIMARY SCHOOL,,Arusha,Arusha Cc,,
SHALOM PRIMARY SCHOOL,,Arusha,Arusha Cc,,
SHINDA BASIC PRIMARY SCHOOL,,Arusha,Arusha Cc,,
SOJEMA PRIMARY SCHOOL,,Arusha,Arusha Cc,,
SOUVENIR PRIMARY SCHOOL,,Arusha,Arusha Cc,,
ST JUDE PRIMARY SCHOOL,,Arusha,Arusha Cc,,
ST THADEUS PRIMARY SCHOOL,,Arusha,Arusha Cc,,
SUYE PRIMARY SCHOOL,,Arusha,Arusha Cc,,
TEREZA NUZZO PRIMARY SCHOOL,,Arusha,Arusha Cc,,
THEMI PRIMARY SCHOOL,,Arusha,Arusha Cc,,
UHURU PRIMARY SCHOOL,,Arusha,Arusha Cc,,
UNITY PRIMARY SCHOOL,,Arusha,Arusha Cc,,
WINNING SPIRIT PRIMARY SCHOOL,,Arusha,Arusha Cc,,
ARUSHA INTERGRATED PRIMARY SCHOOL,,Arusha,Arusha Cc,,
ARUSHA ROYAL VISION PRIMARY SCHOOL,,Arusha,Arusha Cc,,
BARAA PRIMARY SCHOOL,,Arusha,Arusha Cc,,
BRIGHT FUTURE PRIMARY SCHOOL,,Arusha,Arusha Cc,,
BURKA PRIMARY SCHOOL,,Arusha,Arusha Cc,,
CARMEL PRIMARY SCHOOL,,Arusha,Arusha Cc,,
DARAJA- II PRIMARY SCHOOL,,Arusha,Arusha Cc,,
ELYON PRIMARY SCHOOL,,Arusha,Arusha Cc,,
ENGIRA PRIMARY SCHOOL,,Arusha,Arusha Cc,,
GHATI MEMORIAL PRIMARY SCHOOL,,Arusha,Arusha Cc,,
GOLGOTHA PRIMARY SCHOOL,,Arusha,Arusha Cc,,
GREEN VALLEY PRIMARY SCHOOL,,Arusha,Arusha Cc,,
HEALSUN PRIMARY SCHOOL,,Arusha,Arusha Cc,,
HIGH VIEW PRIMARY SCHOOL,,Arusha,Arusha Cc,,
HOPE PRIMARY SCHOOL,,Arusha,Arusha Cc,,
INTEL PRIMARY SCHOOL,,Arusha,Arusha Cc,,
KALOLENI PRIMARY SCHOOL,,Arusha,Arusha Cc,,
KIMANDOLU LUTH PRIMARY SCHOOL,,Arusha,Arusha Cc,,
KISIMANI PRIMARY SCHOOL,,Arusha,Arusha Cc,,
LEVOLOSI PRIMARY SCHOOL,,Arusha,Arusha Cc,,
LOSIYO PRIMARY SCHOOL,,Arusha,Arusha Cc,,
MAGEREZA PRIMARY SCHOOL,,Arusha,Arusha Cc,,
MARANATHA MISSION PRIMARY SCHOOL,,Arusha,Arusha Cc,,
MATEVES PRIMARY SCHOOL,,Arusha,Arusha Cc,,
MECSON PRIMARY SCHOOL,,Arusha,Arusha Cc,,
MKONOO PRIMARY SCHOOL,,Arusha,Arusha Cc,,
MOUNT MERU PRIMARY SCHOOL,,Arusha,Arusha Cc,,
MSASANI PRIMARY SCHOOL,,Arusha,Arusha Cc,,
MURONGOINE PRIMARY SCHOOL,,Arusha,Arusha Cc,,
NAKIDO PRIMARY SCHOOL,,Arusha,Arusha Cc,,
NEJOLA PRIMARY SCHOOL,,Arusha,Arusha Cc,,
NEW WISDOM PRIMARY SCHOOL,,Arusha,Arusha Cc,,
NOTRE DAME PRIMARY SCHOOL,,Arusha,Arusha Cc,,
OLKERYAN PRIMARY SCHOOL,,Arusha,Arusha Cc,,
PARENTS PRIMARY SCHOOL,,Arusha,Arusha Cc,,
PISON PRIMARY SCHOOL,,Arusha,Arusha Cc,,
ROYAL PRIMARY SCHOOL,,Arusha,Arusha Cc,,
SHADES OF HOPE PRIMARY SCHOOL,,Arusha,Arusha Cc,,
SHEPHERDS PRIMARY SCHOOL,,Arusha,Arusha Cc,,
SOCRATES PRIMARY SCHOOL,,Arusha,Arusha Cc,,
SOMBETINI PRIMARY SCHOOL,,Arusha,Arusha Cc,,
ST GEMMA GALGAN PRIMARY SCHOOL,,Arusha,Arusha Cc,,
ST MONICA PRIMARY SCHOOL,,Arusha,Arusha Cc,,
STAR LIGHT PRIMARY SCHOOL,,Arusha,Arusha Cc,,
TANGANYIKA PRIMARY SCHOOL,,Arusha,Arusha Cc,,
TESTMONY PRIMARY SCHOOL,,Arusha,Arusha Cc,,
UHURU PEAK PRIMARY SCHOOL,,Arusha,Arusha Cc,,
UNGA-LIMITED PRIMARY SCHOOL,,Arusha,Arusha Cc,,
WEMA PRIMARY SCHOOL,,Arusha,Arusha Cc,,
ARUSHA ALLIANCE PRIMARY SCHOOL,,Arusha,Arusha Cc,,
ARUSHA PRIMARY SCHOOL,,Arusha,Arusha Cc,,
