name,branch,region,district,phone,email
AMANI DEVELOPMENT ORGANIZATION,BUNGE,Dodoma,Dodoma,622080025,amanidevelopmentorg@yahoo.com
DCT CANON ANDREA MWAKA SCHOOL,CHAMWINO,Dodoma,Dodoma,759027691,lusanhosam@yahoo.com
DCT MVUMI SECONDARY SCHOOL,CHAMWINO,Dodoma,Dodoma,717245451,joylusinde48@gmail.com
DON BOSCO TECHNICAL INSTITUTE,CHAMWINO,Dodoma,Dodoma,767820173,admdonboscododoma@gmail.com
MVUMI INSTITUTE OF HEALTH SCIENCES,CHAMWINO,Dodoma,Dodoma,712625355,macmartin61@yahoo.com
PRECIOUSKING PRE PR SCHOOL,CHAMWINO,Dodoma,,658691000,njukaone@yahoo.com
SALESIAN SEMINARY DODOMA,CHAMWINO,Dodoma,Dodoma,767820173,walsdb@gmail.com
DCT JUBILEE HIGH SCHOOL,DODOMA,Dodoma,Dodoma,784385349,mnyagapm@ymail.com
MARTIN LUTHER SCHOOL,DODOMA,Dodoma,Dodoma,784204050,gilbertoftz@gmail.com
MESOMAPYA TRUST FUND,DODOMA,Dodoma,Dodoma,784289627,eschanzi@yahoo.co.uk
BLESSED MABUBA SCHOOL,DODOMA UNIVERSITY,Dodoma,,767565709,info@blessedmabuba.sc.tz
DECCA COLLEGE,DODOMA UNIVERSITY,Dodoma,,712832211,gombokamuli@gmail.com
DECCA COLLEGE OF HEALTH AND ALLIED SCIENCES,DODOMA UNIVERSITY,Dodoma,,712832211,decohas@gmail.com
THE GREAT FOUNTAIN,DODOMA UNIVERSITY,Dodoma,Dodoma,784797944,lmwaikambo456@gmail.com
ZION ACADEMIC CENTRE LTD,KAMBARAGE,Dodoma,Dodoma,754830200,maglanjoseph@gmail.com
FEZA DODOMA,KIJITONYAMA,Dodoma,Dodoma,689508000,asahin@fezaschools.org
CHRISTINE DAYCARE CENTER,MAJENGO,Dodoma,Dodoma,714092085,cmngongo@gmail.com
FOUNTAIN GATE DODOMA SEC SCHOOL,TABATA,Dodoma,Dodoma,756006006,fountaingatesecondary@gmail.com
ANTONIA DAYCARE CENTER,UDOM,Dodoma,Dodoma,715072040,antoniadaycaredodoma@gmail.com
FAUNTAIN GATE ACADEMY DODOMA,UDOM,Dodoma,,717713212,fountaingatedodoma@gmail.com
ST. PETER CLAVER HIGH SCHOOL,UDOM,Dodoma,,255759933067,buberwak@gmail.com
TANZANIA RESEARCH AND CAREER DEVELOPMENT INSTITUTE,UDOM,Dodoma,Dodoma,756869343,info@tracdi.ac.tz
REALHOPE SECONDARY SCHOOL,,Iringa,Mufindi,763777275,nicholouskiwovele@gmail.com
TUSAALE TEACHERS COLLEGE,,Iringa,Mufindi,754041510,tusaalechuo@gmail.com
COHELA AGENCY,IRINGA,Iringa,Iringa Urban,755694028,cohelaagency@gmail.com
EBENEZER SEMINARY,IRINGA,Iringa,Iringa,654418962,seminaryebenezer23@gmail.com
EFATHA SECONDARY SCHOOL,IRINGA,Iringa,Iringa,755335556,tabaniict@gmail.com
GOOD VICTORY ENGLISH MEDIUM SCHOOL,IRINGA,Iringa,Iringa,757048221,eunicekimath89@gmail.com
HIGHLAND SECONDARY SCHOOL,IRINGA,Iringa,Iringa,784695401,ifbtzltd@gmail.com
HYPERLINK SCHOOLS,IRINGA,Iringa,Iringa,767030406,gfuime1@gmail.com
KILOLO SOUTHERN COLLEGE OF TANZANIA,IRINGA,Iringa,,769395451,marwarange123@gmail.com
MINANI VOCATIONAL TRAINING COLLEGE,IRINGA,Iringa,Iringa,719654321,mariambonela@yahoo.com
MWEMBETOGWA SEKONDARI,IRINGA,Iringa,Iringa,754772634,mwembetogwahighschool@gmail.com
PEACOCK DAY CARE AND NURSERY,IRINGA,Iringa,Iringa,744788331,chelesitausila1@gmail.com
RANGE SCHOOLS,IRINGA,Iringa,,769395451,jane.john688@gmail.com
RETCO EDUCATION CENTRE,IRINGA,Iringa,Iringa,755335556,efathasecondaryschool@gmail.com
SAN GIOVANNI PAOLO SECONDARY,IRINGA,Iringa,Iringa Urban,674497404,sgpsecondo@gmail.com
ST DOMINIC SAVIO SCHOOLS-TRANSPORT,IRINGA,Iringa,Iringa Urban,754905111,aidanpulungi3@gmail.com
ST DOMINIC SECONDARY SCHOOL,IRINGA,Iringa,Iringa,754905111,aidanpulungi2@gmail.com
ST. PETER HEALTH AND VOCATIONAL TRAINING INSTITUTE,IRINGA,Iringa,Iringa,764036596,revocatusbukuru92@gmail.com
ST. THOMAS NYABULA SECONDARY SCHOOL,IRINGA,Iringa,Iringa Urban,768396957,emilkindole@yahoo.com
ST.PETER HEALTH TRAINING,IRINGA,Iringa,Iringa,767010264,bakurunestory@gmail.com
ST.THOMAS NYABULA SECONDARY SCHOOL,IRINGA,Iringa,Iringa,768396957,emailkindole@yahoo.com
TOSAMAGANGA INSTITUTE OF HEALTH AND ALLIED SCIENCE,IRINGA,Iringa,Iringa Urban,754905111,aidanpulungi4@gmail.com
TUMAINI UNIVERSITY AT IRINGA,IRINGA,Iringa,Iringa,262720900,bursar@uoi.ac.tz
TURNBULL TECH TRAINING,IRINGA,Iringa,Iringa,765696076,turnbulltech@yahoo.com
UNIVERSITY OF IRINGA STUDENT ORGANIZATION,IRINGA,Iringa,Iringa Urban,766513812,uoiso@uoi.ac.tz
MUYOGE COLLEGE OF HEALTH AND MANAGEMENT,MAFINGA,Iringa,Mufindi,757535531,muyogecollegeofhealth@yahoo.com
MGAO PRE-SCHOOL AND DAY CARE,MKWAWA,Iringa,Iringa Urban,623311884,mgaopreschool@gmail.com
MGM HEALTH TRAINING INSTITUTE,MKWAWA,Iringa,Iringa Urban,747703590,mgmhealthtraining@gmail.com
MOSES ENGLISH MEDIUM SCHOOL,MKWAWA,Iringa,Iringa,768807605,mosesschool1@gmail.com
ST ANSELM SECONDARY SCHOOL,MKWAWA,Iringa,Mufindi,768800102,mulumba108@gmail.com
ST. MARY'S ULETE SECONDARY SCHOOL,MKWAWA,Iringa,Iringa Urban,767300683,stmarysuletesecondary2006@gmail.com
WENDYRAYNA SECONDARY SCHOOL,MKWAWA,Iringa,Iringa,766434040,mdegelawinston@gmail.com
BRAVO SECONDARY SCHOOL,IFAKARA,Morogoro,,784364850,fundiathumani@yahoo.com
KINGCOLLINS ENGLISH MEDIUM SCHOOL,IFAKARA,Morogoro,Kilombero,784435155,naomimanyilizu@gmail.com
KINGCOLLINS SECONDARY SCHOOL,IFAKARA,Morogoro,Kilombero,784435155,perybenny@gmail.com
SAMA MEMORIAL SECONDARY SCHOOL,IFAKARA,Morogoro,Kilombero,783112200,manyawafarida5@gmail.com
ST. RAPHAEL SECONDARY SCHOOL,IFAKARA,Morogoro,Kilombero,686928120,faustinepascal@gmail.com
MIYONGA ENGLISH MEDIUM SCHOOL,KILOMBERO,Morogoro,Kilombero,784666175,hassanjamillah397@gmail.com
MTEULE OPEN SCHOOL,MANDELA,Morogoro,Morogoro,684356291,mteuleopenschool@gmail.com
MSOLWA STGASPER BERTON SECONDARY,MIKUMI,Morogoro,Kilosa,683284671,godsimay@yahoo.com
CHARLOTTE SECONDARY SCHOOL,MOROGORO,Morogoro,Morogoro,752426939,agnessmwigora@gmail.com
JUNIOR SCHOLAR,MOROGORO,Morogoro,Mvomero,755700247,rosiekitosi@gmail.com
MLIMBA INSTITUTE OF HEALTH AND ALLIED SCIENCES,MOROGORO,Morogoro,Mlimba,718240555,jamson006@gmail.com
MARGARETA NASEAU SEC SCHOOL,MANYONI,Singida,Singida Urban,769108438,hmsongalimi@gmail.com
MAASAI SCHOOLS LIMITED,SINGIDA,Singida,Singida Urban,754801935,maasaischool2000@yahoo.com
SINGIDA SECONDARY SCHOOL,SINGIDA,Singida,Singida Urban,679446992,mmatiliga@gmail.com
MARIA STIEREN GIRLS SECONDARY SCHOOL,SINGIDA BRANCH,Singida,Ikungi,765894168,missionariespuma@gmail.com
SINGIDA TEACHERS COLLEGE,SINGIDA NHC,Singida,Singida Urban,679446992,singidasec@gmail.com
ABC CAPITAL SCHOOL,,Dar Es Salaam,Ilala,787907904,abccapitalschool@gmail.com
CRDB DEMO SCHOOL,,Dar Es Salaam,Ilala,758828755,dummyschool1@gmail.com
JOHN THE BAPTIST GIRLS HIGH SCHOOL,AZIKIWE,Dar Es Salaam,Kinondoni,754002700,johnbaptistsec@yahoo.com
MONTECARLO PRE SCHOOL AND DAY CARE,AZIKIWE,Dar Es Salaam,,718391969,mattamaayyambar0@gmail.com
ARISE ACADEMIC SCHOOLS,AZIKIWE PREMIER,Dar Es Salaam,Ubungo,718888855,jlukindo72@gmail.com
HERITAGE ENGLISH MEDIUM SCHOOL,BANANA,Dar Es Salaam,Ilala,788868618,erickmnanka@gmail.com
MOUNT THOMAS SCHOOLS AND DAYCARE,BANANA,Dar Es Salaam,Ilala,652150403,florazahabu2020@gmail.com
