name,branch,region,district,phone,email
TUMAINI UNIVERSITY MAKUMIRA (TUMA),,Arusha,Arusha,,
UNIVERSITY OF ARUSHA (UoA),,Arusha,Arusha,,
NELSON MANDELA SCIENCE INSTITUTION OF SCIENCE & TECHNOLOGY (NM‑AIST),,Arusha,Arusha Cc,,
SAUT – ARUSHA CENTRE,,Arusha,Arusha Cc,,
MWENGE CATHOLIC UNIVERSITY (MWECAU),,Kilimanjaro,Moshi,,
MWECAU – HEDARU CAMPUS,,Kilimanjaro,Moshi,,
SMMUCo – MWIKA CENTRE,,Kilimanjaro,Moshi,,
MOSHI COOPERATIVE UNIVERSITY (MoCU),,Kilimanjaro,Moshi Mc,,
KCMC UNIVERSITY,,Kilimanjaro,Moshi Mc,,
STEFANO MOSHI MEMORIAL UNIVERSITY COLLEGE (SMMUCo),,Kilimanjaro,Moshi Mc,,
ST. AUGUSTINE UNIVERSITY OF TANZANIA (SAUT),,Mwanza,Ilemela Mc,,
CATHOLIC UNIVERSITY OF HEALTH & ALLIED SCIENCES (CUHAS),,Mwanza,Ilemela Mc,,
MWANZA UNIVERSITY (MzU),,Mwanza,Ilemela Mc,,
MWALIMU NYERERE UNIVERSITY OF AGRICULTURE & TECHNOLOGY (MNUAT),,Mara,Musoma Mc,,
MARIAN UNIVERSITY COLLEGE (MARUCo),,Pwani,Bagamoyo,,
STATE UNIVERSITY OF ZANZIBAR (SUZA),,Zanzibar,West A Mc,,
ABDULRAHMAN AL‑SUMAIT UNIVERSITY (SUMAIT),,Zanzibar,West A Mc,,
INSTITUTE OF MARINE SCIENCES (IMS),,Zanzibar,West A Mc,,
ZANZIBAR UNIVERSITY (ZU),,Zanzibar,West B Mc,,
KAIRUKI UNIVERSITY (KU),,Dar Es Salaam,Kinondoni Mc,,
UNITED AFRICAN UNIVERSITY OF TANZANIA (UAUT),,Dar Es Salaam,Kinondoni Mc,,
DAR ES SALAAM TUMAINI UNIVERSITY (DarTU),,Dar Es Salaam,Kinondoni Mc,,
DAR ES SALAAM UNIVERSITY COLLEGE OF EDUCATION (DUCE),,Dar Es Salaam,Temeke Mc,,
UNIVERSITY OF DAR ES SALAAM (UDSM),,Dar Es Salaam,Ubungo Mc,,
ARDHI UNIVERSITY (ARU),,Dar Es Salaam,Ubungo Mc,,
OPEN UNIVERSITY OF TANZANIA (OUT – HQ),,,Ilala Mc,,
MUHIMBILI UNIVERSITY OF HEALTH & ALLIED SCIENCES (MUHAS),,,Ilala Mc,,
AGA KHAN UNIVERSITY (AKU),,,Ilala Mc,,
ST. JOSEPH UNIVERSITY IN TANZANIA (SJUIT),,,Ilala Mc,,
KAMPALA INTERNATIONAL UNIVERSITY IN TANZANIA (KIUT),,,Ilala Mc,,
RABININSIA MEMORIAL UNIVERSITY OF HEALTH & ALLIED SCIENCES (RMUHAS),,,Ilala Mc,,
UNIVERSITY OF MEDICAL SCIENCES AND TECHNOLOGY (UMST),,,Ilala Mc,,
ISLAMIC UNIVERSITY OF EAST AFRICA (IUEA),,,Ilala Mc,,
MZUMBE UNIVERSITY – DAR CAMPUS COLLEGE,,,Ilala Mc,,
ST. JOSEPH UNIVERSITY COLLEGE OF HEALTH AND ALLIED SCIENCES,,,Ilala Mc,,
SAUT –DAR ES SALAAM CENTRE,,,Ilala Mc,,
MBEYA UNIVERSITY OF SCIENCE & TECHNOLOGY (MUST),,Mbeya,Mbeya Cc,,
TEOFILO KISANJI UNIVERSITY (TEKU),,Mbeya,Mbeya Cc,,
CATHOLIC UNIVERSITY OF MBEYA (CUoM),,Mbeya,Mbeya Cc,,
MBEYA COLLEGE OF HEALTH & ALLIED SCIENCES,,Mbeya,Mbeya Cc,,
MZUMBE UNIVERSITY – MBEYA CAMPUS COLLEGE,,Mbeya,Mbeya Cc,,
MUST –RUKWA CAMPUS COLLEGE,,Rukwa,Sumbawanga Mc,,
MUST – MTWARA CAMPUS COLLEGE,,Mtwara,Mtwara Mc,,
ARCHBISHOP MIHAYO UNIVERSITY COLLEGE OF TABORA (AMUCTA),,Tabora,Tabora Mc,,
KIZUMBI INSTITUTE OF COOPERATIVE BUSINESS EDUCATION (KICoB),,Shinyanga,Shinyanga Mc,,
UNIVERSITY OF DODOMA (UDOM),,Dodoma,Dodoma Cc,,
ST. JOHN'S UNIVERSITY OF TANZANIA (SJUT),,Dodoma,Dodoma Cc,,
SOKOINE UNIVERSITY OF AGRICULTURE (SUA),,Morogoro,Morogoro Mc,,
MUSLIM UNIVERSITY OF MOROGORO (MUM),,Morogoro,Morogoro Mc,,
JORDAN UNIVERSITY COLLEGE (JUCo),,Morogoro,Morogoro Mc,,
ST. FRANCIS UNIVERSITY COLLEGE OF HEALTH AND ALLIED SCIENCES,,Morogoro,Morogoro Mc,,
MZUMBE UNIVERSITY (MAIN CAMPUS),,Morogoro,Mvomero,,
UNIVERISTY OF IRINGA (UoI),,Iringa,Iringa Mc,,
RUAHA CATHOLIC UNIVERSITY (RUCU),,Iringa,Iringa Mc,,
MKWAWA UNIVERSITY COLLEGE OF EDUCATION (MUCE),,Iringa,Iringa Mc,,
